"","SciName","family","m_index","movement_keyword","mean_pld","sd_pld","n_mean","mean_pld_family","sd_pld_family","n_mean_family","pld"
"567","Orcynopsis unicolor","Scombridae",3,"hms",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"568","Rastrelliger brachysoma","Scombridae",3,"pelagic",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"569","Rastrelliger kanagurta","Scombridae",3,"pelagic",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"570","Sarda chiliensis","Scombridae",3,"pelagic",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"571","Sarda orientalis","Scombridae",3,"pelagic",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"572","Sarda sarda","Scombridae",3,"hms",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"573","Scomber australasicus","Scombridae",3,"hms",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"574","Scomber japonicus","Scombridae",3,"hms",19.06,0.0282842712474613,2,24.4206818181818,11.9823401833072,44,19.06
"575","Scomber scombrus","Scombridae",3,"hms",45.36,2.29416651531662,4,24.4206818181818,11.9823401833072,44,45.36
"576","Scomberomorus brasiliensis","Scombridae",2,"habitat_coastal",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"577","Scomberomorus cavalla","Scombridae",3,"hms",12,0,1,24.4206818181818,11.9823401833072,44,12
"578","Scomberomorus commerson","Scombridae",3,"hms",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"579","Scomberomorus guttatus","Scombridae",3,"hms",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"580","Scomberomorus lineolatus","Scombridae",3,"pelagic",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"581","Scomberomorus maculatus","Scombridae",3,"hms",9.90333333333333,0.219620885467055,3,24.4206818181818,11.9823401833072,44,9.90333333333333
"582","Scomberomorus niphonius","Scombridae",3,"hms",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"583","Scomberomorus regalis","Scombridae",3,"pelagic",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"584","Scomberomorus sierra","Scombridae",3,"pelagic",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"585","Scomberomorus tritor","Scombridae",3,"pelagic",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"586","Thunnus alalunga","Scombridae",3,"hms",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"587","Thunnus albacares","Scombridae",3,"hms",26.53,0.278747197295328,3,24.4206818181818,11.9823401833072,44,26.53
"588","Thunnus atlanticus","Scombridae",3,"hms",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"589","Thunnus maccoyii","Scombridae",3,"hms",24,0,1,24.4206818181818,11.9823401833072,44,24
"590","Thunnus obesus","Scombridae",3,"pelagic",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"591","Thunnus orientalis","Scombridae",3,"hms",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"592","Thunnus thynnus","Scombridae",3,"pelagic",31,0,1,24.4206818181818,11.9823401833072,44,31
"593","Thunnus tonggol","Scombridae",3,"pelagic",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"594","Lepidorhombus boscii","Scophthalmidae",2,"habitat_benthic",NA,NA,NA,45.0081818181818,1.93501327221194,11,45.0081818181818
