"","SciName","PLD","database","Family","part_of_stock_list"
"195","Lepidophthalmus louisianensis",3,"Fish and Inverts (Ramesh)","Callichiridae",FALSE
"196","Pachygrapsus crassipes",88,"Fish and Inverts (Ramesh)","Grapsidae",FALSE
"197","Pandalus borealis",105,"Fish and Inverts (Ramesh)","Pandalidae",TRUE
"198","Penaeus monodon",14,"Fish and Inverts (Ramesh)","Penaeidae",TRUE
"199","Penaeus monodon",14,"Fish and Inverts (Ramesh)","Penaeidae",TRUE
"200","Synalpheus pectiniger",3,"Fish and Inverts (Ramesh)","Alpheidae",FALSE
"201","Abudefduf saxatilis",23,"Fish and Inverts (Ramesh)","Pomacentridae",FALSE
"202","Acanthochromis polyacanthus",0,"Fish and Inverts (Ramesh)","Pomacentridae",FALSE
"203","Acanthochromis polyacanthus",0,"Fish and Inverts (Ramesh)","Pomacentridae",FALSE
"204","Acanthurus chirurgus",55.2,"Fish and Inverts (Ramesh)","Acanthuridae",FALSE
"205","Acanthurus triostegus",60,"Fish and Inverts (Ramesh)","Acanthuridae",FALSE
"206","Acanthurus triostegus",60,"Fish and Inverts (Ramesh)","Acanthuridae",FALSE
"207","Acanthurus triostegus",65,"Fish and Inverts (Ramesh)","Acanthuridae",FALSE
"208","Alloclinus holderi",60,"Fish and Inverts (Ramesh)","Labrisomidae",FALSE
"209","Amphiprion clarkii",11.5,"Fish and Inverts (Ramesh)","Pomacentridae",FALSE
"210","Amphiprion melanopus",18.5,"Fish and Inverts (Ramesh)","Pomacentridae",FALSE
"211","Arnoglossus thori",31.4,"Fish and Inverts (Ramesh)","Bothidae",FALSE
"212","Atherina hepsetus",83,"Fish and Inverts (Ramesh)","Atherinidae",FALSE
"213","Axoclinus nigricaudus",18,"Fish and Inverts (Ramesh)","Tripterygiidae",FALSE
"214","Balistes vetula",75,"Fish and Inverts (Ramesh)","Balistidae",FALSE
"215","Bathygobius soporator",30,"Fish and Inverts (Ramesh)","Gobiidae",FALSE
"216","Boops boops",16.9,"Fish and Inverts (Ramesh)","Sparidae",TRUE
"217","Bothus podas",33.7,"Fish and Inverts (Ramesh)","Bothidae",FALSE
"218","Caesio cuning",45,"Fish and Inverts (Ramesh)","Caesionidae",FALSE
"219","Chaetodon citrinellus",45,"Fish and Inverts (Ramesh)","Chaetodontidae",FALSE
"220","Chaetodon quadrimaculatus",45,"Fish and Inverts (Ramesh)","Chaetodontidae",FALSE
"221","Chanos chanos",21,"Fish and Inverts (Ramesh)","Chanidae",TRUE
"222","Chelidonichthys spinosus",19,"Fish and Inverts (Ramesh)","Triglidae",FALSE
"223","Chionodraco hamatus",547,"Fish and Inverts (Ramesh)","Channichthyidae",FALSE
"224","Chromis atripectoralis",21,"Fish and Inverts (Ramesh)","Pomacentridae",FALSE
"225","Chromis punctipinnis",35,"Fish and Inverts (Ramesh)","Pomacentridae",FALSE
"226","Chromis xanthura",25,"Fish and Inverts (Ramesh)","Pomacentridae",FALSE
"227","Chrysiptera glauca",25,"Fish and Inverts (Ramesh)","Pomacentridae",FALSE
"228","Clevelandia ios",21,"Fish and Inverts (Ramesh)","Gobiidae",FALSE
"229","Clinocottus analis",42,"Fish and Inverts (Ramesh)","Cottidae",FALSE
"230","Coris julis",35,"Fish and Inverts (Ramesh)","Labridae",FALSE
"231","Ctenolabrus rupestris",20.9,"Fish and Inverts (Ramesh)","Labridae",TRUE
"232","Cynoscion nebulosus",20,"Fish and Inverts (Ramesh)","Sciaenidae",TRUE
"233","Dascyllus aruanus",23,"Fish and Inverts (Ramesh)","Pomacentridae",FALSE
"234","Dascyllus aruanus",25,"Fish and Inverts (Ramesh)","Pomacentridae",FALSE
"235","Dascyllus trimaculatus",23,"Fish and Inverts (Ramesh)","Pomacentridae",FALSE
"236","Didogobius schlieweni",26,"Fish and Inverts (Ramesh)","Gobiidae",FALSE
"237","Dissostichus mawsoni",547,"Fish and Inverts (Ramesh)","Nototheniidae",TRUE
"238","Elacatinus evelynae",22.3,"Fish and Inverts (Ramesh)","Gobiidae",FALSE
